"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/charts/spending-by-category-chart.tsx", "TypeScript JSX", 1, 0, 0, 1
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/components/navigation/app-sidebar.tsx", "TypeScript JSX", 7, 0, 0, 7
"/Users/caitlinirvin/Documents/GitHub/financial-operating-system/src/features/dashboard/components/mission-progress.tsx", "TypeScript JSX", 2, 0, 0, 2
"Total", "-", 10, 0, 0, 10
